group_name,label,exterior_image,interior_image,exterior_path,interior_path
JD04509_vs_JD05452,1,JD04509_vs_JD05452_exterior.png,JD04509_vs_JD05452_interior.png,real_match\JD04509_vs_JD05452_exterior.png,real_match\JD04509_vs_JD05452_interior.png
JD04521_vs_JD15223_sample0,1,JD04521_vs_JD15223_sample0_exterior.png,JD04521_vs_JD15223_sample0_interior.png,real_match\JD04521_vs_JD15223_sample0_exterior.png,real_match\JD04521_vs_JD15223_sample0_interior.png
JD04865_vs_JD15735_sample0,1,JD04865_vs_JD15735_sample0_exterior.png,JD04865_vs_JD15735_sample0_interior.png,real_match\JD04865_vs_JD15735_sample0_exterior.png,real_match\JD04865_vs_JD15735_sample0_interior.png
JD04868_vs_JD03431_sample0,1,JD04868_vs_JD03431_sample0_exterior.png,JD04868_vs_JD03431_sample0_interior.png,real_match\JD04868_vs_JD03431_sample0_exterior.png,real_match\JD04868_vs_JD03431_sample0_interior.png
JD04983_vs_JD12899_sample3,1,JD04983_vs_JD12899_sample3_exterior.png,JD04983_vs_JD12899_sample3_interior.png,real_match\JD04983_vs_JD12899_sample3_exterior.png,real_match\JD04983_vs_JD12899_sample3_interior.png
JD05020_vs_JD07363_sample0,1,JD05020_vs_JD07363_sample0_exterior.png,JD05020_vs_JD07363_sample0_interior.png,real_match\JD05020_vs_JD07363_sample0_exterior.png,real_match\JD05020_vs_JD07363_sample0_interior.png
JD05105_vs_JD16389,1,JD05105_vs_JD16389_exterior.png,JD05105_vs_JD16389_interior.png,real_match\JD05105_vs_JD16389_exterior.png,real_match\JD05105_vs_JD16389_interior.png
JD05128_vs_JD05845_sample4,1,JD05128_vs_JD05845_sample4_exterior.png,JD05128_vs_JD05845_sample4_interior.png,real_match\JD05128_vs_JD05845_sample4_exterior.png,real_match\JD05128_vs_JD05845_sample4_interior.png
JD05131_vs_JD03443_sample3,1,JD05131_vs_JD03443_sample3_exterior.png,JD05131_vs_JD03443_sample3_interior.png,real_match\JD05131_vs_JD03443_sample3_exterior.png,real_match\JD05131_vs_JD03443_sample3_interior.png
JD05140_vs_JD07328_sample3,1,JD05140_vs_JD07328_sample3_exterior.png,JD05140_vs_JD07328_sample3_interior.png,real_match\JD05140_vs_JD07328_sample3_exterior.png,real_match\JD05140_vs_JD07328_sample3_interior.png
JD05183_vs_JD00797_sample3,1,JD05183_vs_JD00797_sample3_exterior.png,JD05183_vs_JD00797_sample3_interior.png,real_match\JD05183_vs_JD00797_sample3_exterior.png,real_match\JD05183_vs_JD00797_sample3_interior.png
JD05225_vs_JD05382_sample1,1,JD05225_vs_JD05382_sample1_exterior.png,JD05225_vs_JD05382_sample1_interior.png,real_match\JD05225_vs_JD05382_sample1_exterior.png,real_match\JD05225_vs_JD05382_sample1_interior.png
JD05339 and JD08236,1,JD05339 and JD08236_exterior.png,JD05339 and JD08236_interior.png,real_match\JD05339 and JD08236_exterior.png,real_match\JD05339 and JD08236_interior.png
JD05367_vs_JD13862_sample4,1,JD05367_vs_JD13862_sample4_exterior.png,JD05367_vs_JD13862_sample4_interior.png,real_match\JD05367_vs_JD13862_sample4_exterior.png,real_match\JD05367_vs_JD13862_sample4_interior.png
JD05371_vs_JD12014_sample2,1,JD05371_vs_JD12014_sample2_exterior.png,JD05371_vs_JD12014_sample2_interior.png,real_match\JD05371_vs_JD12014_sample2_exterior.png,real_match\JD05371_vs_JD12014_sample2_interior.png
JD05371_vs_JD16452_sample0,1,JD05371_vs_JD16452_sample0_exterior.png,JD05371_vs_JD16452_sample0_interior.png,real_match\JD05371_vs_JD16452_sample0_exterior.png,real_match\JD05371_vs_JD16452_sample0_interior.png
JD05371_vs_JD16513_sample1,1,JD05371_vs_JD16513_sample1_exterior.png,JD05371_vs_JD16513_sample1_interior.png,real_match\JD05371_vs_JD16513_sample1_exterior.png,real_match\JD05371_vs_JD16513_sample1_interior.png
JD05414_vs_JD02978,1,JD05414_vs_JD02978_exterior.png,JD05414_vs_JD02978_interior.png,real_match\JD05414_vs_JD02978_exterior.png,real_match\JD05414_vs_JD02978_interior.png
JD05445_vs_JD09033_sample3,1,JD05445_vs_JD09033_sample3_exterior.png,JD05445_vs_JD09033_sample3_interior.png,real_match\JD05445_vs_JD09033_sample3_exterior.png,real_match\JD05445_vs_JD09033_sample3_interior.png
JD05445_vs_JD09034_sample4,1,JD05445_vs_JD09034_sample4_exterior.png,JD05445_vs_JD09034_sample4_interior.png,real_match\JD05445_vs_JD09034_sample4_exterior.png,real_match\JD05445_vs_JD09034_sample4_interior.png
JD05445_vs_JD09144_sample0,1,JD05445_vs_JD09144_sample0_exterior.png,JD05445_vs_JD09144_sample0_interior.png,real_match\JD05445_vs_JD09144_sample0_exterior.png,real_match\JD05445_vs_JD09144_sample0_interior.png
JD05470_vs_JD14485_sample0,1,JD05470_vs_JD14485_sample0_exterior.png,JD05470_vs_JD14485_sample0_interior.png,real_match\JD05470_vs_JD14485_sample0_exterior.png,real_match\JD05470_vs_JD14485_sample0_interior.png
JD05485_vs_JD02465_sample3,1,JD05485_vs_JD02465_sample3_exterior.png,JD05485_vs_JD02465_sample3_interior.png,real_match\JD05485_vs_JD02465_sample3_exterior.png,real_match\JD05485_vs_JD02465_sample3_interior.png
JD05486_vs_JD09598_sample1,1,JD05486_vs_JD09598_sample1_exterior.png,JD05486_vs_JD09598_sample1_interior.png,real_match\JD05486_vs_JD09598_sample1_exterior.png,real_match\JD05486_vs_JD09598_sample1_interior.png
JD05500_vs_JD07266,1,JD05500_vs_JD07266_exterior.png,JD05500_vs_JD07266_interior.png,real_match\JD05500_vs_JD07266_exterior.png,real_match\JD05500_vs_JD07266_interior.png
JD05526_vs_JD05711_sample0,1,JD05526_vs_JD05711_sample0_exterior.png,JD05526_vs_JD05711_sample0_interior.png,real_match\JD05526_vs_JD05711_sample0_exterior.png,real_match\JD05526_vs_JD05711_sample0_interior.png
JD05527_vs_JD05546_sample0,1,JD05527_vs_JD05546_sample0_exterior.png,JD05527_vs_JD05546_sample0_interior.png,real_match\JD05527_vs_JD05546_sample0_exterior.png,real_match\JD05527_vs_JD05546_sample0_interior.png
JD05603_vs_JD05678,1,JD05603_vs_JD05678_exterior.png,JD05603_vs_JD05678_interior.png,real_match\JD05603_vs_JD05678_exterior.png,real_match\JD05603_vs_JD05678_interior.png
JD05645_vs_JD10721,1,JD05645_vs_JD10721_exterior.png,JD05645_vs_JD10721_interior.png,real_match\JD05645_vs_JD10721_exterior.png,real_match\JD05645_vs_JD10721_interior.png
JD05674_vs_JD11421_sample1,1,JD05674_vs_JD11421_sample1_exterior.png,JD05674_vs_JD11421_sample1_interior.png,real_match\JD05674_vs_JD11421_sample1_exterior.png,real_match\JD05674_vs_JD11421_sample1_interior.png
JD05688_vs_JD10601_sample1,1,JD05688_vs_JD10601_sample1_exterior.png,JD05688_vs_JD10601_sample1_interior.png,real_match\JD05688_vs_JD10601_sample1_exterior.png,real_match\JD05688_vs_JD10601_sample1_interior.png
JD05688_vs_JD11319_sample2,1,JD05688_vs_JD11319_sample2_exterior.png,JD05688_vs_JD11319_sample2_interior.png,real_match\JD05688_vs_JD11319_sample2_exterior.png,real_match\JD05688_vs_JD11319_sample2_interior.png
JD05694_vs_JD07583_sample1,1,JD05694_vs_JD07583_sample1_exterior.png,JD05694_vs_JD07583_sample1_interior.png,real_match\JD05694_vs_JD07583_sample1_exterior.png,real_match\JD05694_vs_JD07583_sample1_interior.png
JD05738_vs_JD10323_sample2,1,JD05738_vs_JD10323_sample2_exterior.png,JD05738_vs_JD10323_sample2_interior.png,real_match\JD05738_vs_JD10323_sample2_exterior.png,real_match\JD05738_vs_JD10323_sample2_interior.png
JD05759_vs_JD03812_sample0,1,JD05759_vs_JD03812_sample0_exterior.png,JD05759_vs_JD03812_sample0_interior.png,real_match\JD05759_vs_JD03812_sample0_exterior.png,real_match\JD05759_vs_JD03812_sample0_interior.png
JD05774_vs_JD11957_sample2,1,JD05774_vs_JD11957_sample2_exterior.png,JD05774_vs_JD11957_sample2_interior.png,real_match\JD05774_vs_JD11957_sample2_exterior.png,real_match\JD05774_vs_JD11957_sample2_interior.png
JD05774_vs_JD12941_sample1,1,JD05774_vs_JD12941_sample1_exterior.png,JD05774_vs_JD12941_sample1_interior.png,real_match\JD05774_vs_JD12941_sample1_exterior.png,real_match\JD05774_vs_JD12941_sample1_interior.png
JD05830_vs_JD17582_sample2,1,JD05830_vs_JD17582_sample2_exterior.png,JD05830_vs_JD17582_sample2_interior.png,real_match\JD05830_vs_JD17582_sample2_exterior.png,real_match\JD05830_vs_JD17582_sample2_interior.png
JD05903_vs_JD09040_sample1,1,JD05903_vs_JD09040_sample1_exterior.png,JD05903_vs_JD09040_sample1_interior.png,real_match\JD05903_vs_JD09040_sample1_exterior.png,real_match\JD05903_vs_JD09040_sample1_interior.png
JD05929_vs_JD13462_sample1,1,JD05929_vs_JD13462_sample1_exterior.png,JD05929_vs_JD13462_sample1_interior.png,real_match\JD05929_vs_JD13462_sample1_exterior.png,real_match\JD05929_vs_JD13462_sample1_interior.png
JD06056_vs_JD06145_sample4,1,JD06056_vs_JD06145_sample4_exterior.png,JD06056_vs_JD06145_sample4_interior.png,real_match\JD06056_vs_JD06145_sample4_exterior.png,real_match\JD06056_vs_JD06145_sample4_interior.png
JD06338_vs_JD07922,1,JD06338_vs_JD07922_exterior.png,JD06338_vs_JD07922_interior.png,real_match\JD06338_vs_JD07922_exterior.png,real_match\JD06338_vs_JD07922_interior.png
